"","x","y","celltype"
"1",531.0173262842,1409.18540768325,"A"
"2",744.24779927358,418.19921694696,"A"
"3",1145.70672670379,1791.66987538338,"A"
"4",1816.41557998955,1702.94853020459,"A"
"5",403.363862074912,519.970281049609,"A"
"6",1796.77936993539,253.921510186046,"A"
"7",1889.3505372107,1352.91041061282,"A"
"8",1321.59558497369,1856.93341027945,"A"
"9",1258.22808779776,1559.90776233375,"A"
"10",123.572540935129,1794.90377940238,"A"
"11",411.949149798602,1363.80277713761,"A"
"12",353.113505057991,507.865089457482,"A"
"13",1374.04569331557,1582.73784117773,"A"
"14",768.207436427474,1031.01554419845,"B"
"15",1539.68283999711,1553.46076237038,"A"
"16",995.398484170437,1156.91175917163,"B"
"17",1435.23701652884,1012.87967246026,"C"
"18",1983.81218966097,473.48445141688,"A"
"19",760.070358868688,641.779108438641,"B"
"20",1554.89044263959,754.512465093285,"A"
"21",1869.41046221182,1088.96937733516,"A"
"22",424.285042565316,572.968561202288,"A"
"23",1303.34753217176,1039.59112521261,"B"
"24",251.110191922635,924.227397423238,"A"
"25",534.441337455064,1124.41281368956,"B"
"26",772.228185087442,924.578106962144,"C"
"27",26.7806663177907,1439.99129114673,"A"
"28",764.775914140046,1514.81807790697,"A"
"29",1739.38169144094,810.344172641635,"A"
"30",680.697993375361,711.817821487784,"C"
"31",964.16023094207,1356.92444723099,"B"
"32",1199.13165085018,1802.60920431465,"A"
"33",987.082614097744,696.498191449791,"B"
"34",372.435202822089,1762.38517742604,"A"
"35",1654.74663721398,1699.81473870575,"A"
"36",1336.93347638473,1866.97558732703,"A"
"37",1588.47972145304,341.586760710925,"A"
"38",215.887251775712,1111.04120546952,"A"
"39",1447.42189208046,1435.17855415121,"A"
"40",822.548859287053,279.123886488378,"A"
"41",1641.89258823171,550.616874825209,"A"
"42",1294.12038763985,1454.70001827925,"A"
"43",1565.86552457884,1718.50154129788,"A"
"44",1106.07262328267,749.678657390177,"B"
"45",1059.43916039541,1552.86965006962,"A"
"46",1578.71246337891,1971.79612331092,"A"
"47",46.6624046675861,383.152957074344,"A"
"48",954.46013007313,1123.4260587953,"B"
"49",1464.6274773404,969.296930823475,"C"
"50",1385.46311296523,1787.79216902331,"A"
"51",955.23924427107,920.747273601592,"B"
"52",1722.4189536646,1436.4207983017,"A"
"53",876.194214448333,1660.68353271112,"A"
"54",489.594554062933,1109.41941197962,"A"
"55",141.358094289899,575.795881915838,"A"
"56",198.932320345193,217.729434836656,"A"
"57",632.5434143655,1762.25690776482,"A"
"58",1037.26852638647,1848.38342247531,"A"
"59",1324.0101528354,1357.71590238437,"B"
"60",813.660374376923,369.460106361657,"A"
"61",1825.75184851885,1230.09643051773,"A"
"62",587.206745520234,580.436767544597,"A"
"63",918.131452519447,669.824168551713,"C"
"64",664.789348375052,1240.05847517401,"B"
"65",1301.74093414098,1996.06952024624,"A"
"66",516.033561434597,755.791574716568,"A"
"67",957.090496551245,1887.47960748151,"A"
"68",1532.62134129182,758.826522156596,"A"
"69",168.493828736246,1996.82703986764,"A"
"70",1750.64266007394,1623.93886176869,"A"
"71",678.145875688642,618.916786741465,"C"
"72",1678.88070037588,1144.99212102965,"A"
