"","celltypes","x","y"
"1","D",221.601397264749,617.668788647279
"2","D",24.2339097894728,276.900190394372
"3","D",207.119019469246,129.8337073531
"4","D",215.733549557626,682.56521015428
"5","B",443.723587784916,719.839845318347
"6","C",134.076150367036,1.46905006840825
"7","D",390.657789772376,803.773366846144
"8","B",369.315771851689,113.646299345419
"9","C",668.692956678569,350.332217989489
"10","D",992.109965998679,83.2722182385623
"11","D",117.638953961432,238.748184870929
"12","D",8.47116415388882,810.181423090398
"13","B",883.366814581677,601.503297686577
"14","D",301.054707961157,839.32985085994
"15","B",492.743505863473,532.125166151673
"16","D",500.629938673228,591.519964160398
"17","B",402.034473372623,419.368146453053
"18","C",977.082821307704,234.017407987267
"19","B",358.326010871679,773.624556837603
"20","B",491.660544415936,482.279540738091
"21","A",899.299557087943,65.7173465006053
"22","B",20.8312345203012,800.024692900479
"23","B",319.571583531797,959.338802378625
"24","D",112.929404014722,978.935347869992
"25","C",528.322648489848,867.23855487071
"26","D",912.912638392299,937.16255412437
"27","B",395.104798255488,758.095637196675
"28","D",381.859072949737,812.825331930071
"29","A",967.499930877239,230.657790554687
"30","C",848.661384778097,588.54772313498
"31","B",200.608512153849,36.7825620342046
"32","C",972.864807350561,221.863131970167
"33","B",469.13355239667,56.5715793054551
"34","C",900.671975454316,442.843416705728
"35","D",4.42615593783557,243.632677476853
"36","D",878.250738605857,164.819743717089
"37","A",812.698429916054,88.2483082823455
"38","D",941.969746956602,667.814951390028
"39","B",239.63056365028,172.924302285537
"40","B",755.005470244214,715.430025011301
"41","B",960.540493717417,356.61949776113
"42","A",721.347647486255,880.666976328939
"43","D",572.307574795559,687.348579755053
"44","B",178.868815302849,877.291514305398
"45","A",394.777414621785,830.042277928442
"46","D",200.900783995166,952.304609585553
"47","D",822.886544978246,627.853270387277
"48","A",678.465677658096,671.196439070627
"49","B",244.050650624558,686.301175039262
"50","C",932.901744730771,439.192519988865
"51","A",996.340716490522,509.992576437071
"52","C",536.304417997599,267.605385510251
"53","C",588.047184748575,393.503479659557
"54","C",896.974557079375,336.541290162131
"55","D",239.885035669431,976.193035719916
"56","B",911.238625179976,455.492273438722
"57","C",661.738778930157,320.237506879494
"58","B",748.555793892592,588.080504676327
"59","A",644.143619341776,48.3914555516094
"60","B",143.494963645935,678.375262767076
"61","B",180.420339340344,565.60340616852
"62","B",320.04653615877,198.298261500895
"63","C",375.654146308079,303.744249045849
"64","A",68.2216554414481,960.125630022958
"65","D",852.924563456327,789.787328103557
"66","B",256.572279613465,685.909257503226
"67","D",566.752338316292,15.1764508336782
"68","C",328.350505558774,385.634053731337
"69","B",512.540763244033,748.2969192788
"70","C",794.559814501554,582.716907607391
"71","D",156.16847993806,615.151032106951
"72","C",190.745967905968,246.43698730506
"73","B",649.04799615033,285.996390506625
"74","D",834.936452563852,129.382747691125
"75","D",206.194571219385,962.911497568712
"76","D",121.335117146373,927.918860223144
"77","A",641.216029180214,826.055153505877
"78","D",998.594889417291,397.235359763727
"79","C",537.195734446868,455.294682644308
"80","D",371.531022945419,536.920250626281
"81","B",209.413964534178,435.710869263858
"82","D",435.955316293985,538.755702087656
"83","B",21.7237812466919,519.938955083489
"84","B",574.988400563598,137.251610402018
"85","C",230.037281988189,368.781505152583
"86","B",428.171097533777,453.847354277968
"87","B",649.098064051941,601.296863751486
"88","B",108.027805807069,332.543307216838
"89","B",958.261957392097,785.276125418022
"90","D",892.847582232207,64.4054659642279
"91","B",419.535488821566,682.083052117378
"92","A",216.901281382889,498.011630959809
"93","A",159.528559306636,974.782024975866
"94","D",960.134459193796,591.896744212136
"95","D",95.6851195078343,849.679664475843
"96","C",727.547785965726,535.440935054794
"97","B",159.180511953309,792.549869976938
"98","D",551.436730427667,555.189681705087
"99","B",286.027112277225,382.653676206246
"100","C",209.326925687492,71.3980225846171
"101","C",960.118066519499,425.899023422971
"102","A",734.68617675826,414.052580017596
"103","C",291.924461489543,111.580419354141
"104","B",238.165419083089,506.159465759993
"105","B",195.301121566445,699.528181226924
"106","D",682.097669458017,124.381091911346
"107","C",519.657711498439,398.564821342006
"108","A",435.974111780524,6.64145359769464
"109","A",420.722901355475,799.27439452149
"110","B",266.094914171845,921.920519554988
"111","B",134.806446731091,443.691410822794
"112","B",281.796597409993,254.235957749188
"113","B",595.062788808718,168.994033709168
"114","A",551.37827899307,541.631917236373
"115","B",648.440525168553,751.874020555988
"116","B",369.105348596349,920.021241763607
"117","D",987.141511403024,503.3748683054
"118","D",29.5275917742401,116.596955806017
"119","B",884.775371989235,919.694027397782
"120","D",127.293042140082,126.66119937785
"121","B",610.730020096526,155.826843343675
"122","A",850.797636201605,86.8961871601641
"123","D",114.544542273507,19.6342093404382
"124","D",891.733313445002,955.553062492982
"125","B",679.092878475785,716.0871590022
"126","A",569.948670687154,487.068203743547
"127","B",637.587015051395,754.918065154925
"128","B",291.727009462193,681.818226585165
"129","B",277.643524575979,842.545272782445
"130","A",83.1737346015871,692.166260210797
"131","D",196.663339855149,980.969180818647
"132","B",757.260266691446,922.905333107337
"133","B",402.557773748413,626.827539643273
"134","C",753.124568611383,192.255564965308
"135","A",938.139170175418,479.841718683019
"136","C",790.953239193186,256.208643317223
"137","D",707.49373594299,955.526203848422
"138","D",72.1524194814265,864.421235630289
"139","D",941.204072441906,655.86413256824
"140","B",218.490774044767,484.445126727223
"141","B",598.578794160858,80.4055749904364
"142","D",58.3057627081871,351.830706465989
"143","D",24.8568861279637,241.949860239401
"144","B",328.872059704736,824.535394320264
"145","D",209.240252850577,859.780769795179
"146","B",412.682700902224,248.164929449558
"147","C",309.000618755817,676.255373517051
"148","A",944.503967650235,852.221874287352
