"","x","y","celltypes","id"
"1",265.5086631421,871.805021073669,"D",1
"2",372.12389963679,967.197048477829,"D",1
"3",572.853363351896,866.916270926595,"D",1
"4",908.207789994776,437.715301522985,"C",1
"5",201.681931037456,191.937792114913,"A",1
"6",898.389684967697,82.2944045066833,"C",1
"7",944.675268605351,583.451637532562,"C",1
"8",660.797792486846,70.3614954836667,"A",1
"9",629.11404389888,527.662655804306,"C",1
"10",61.7862704675645,472.288285382092,"D",1
"11",205.974574899301,48.1913706753403,"C",1
"12",176.556752528995,594.540807651356,"C",1
"13",687.022846657783,791.271215071902,"B",1
"14",384.103718213737,598.868683679029,"C",1
"15",769.841419998556,27.9159292113036,"B",1
"16",497.699242085218,395.72663186118,"C",1
"17",717.618508264422,106.243964517489,"B",1
"18",991.906094830483,24.1113880183548,"D",1
"19",380.035179434344,840.897767804563,"A",1
"20",777.445221319795,326.39992586337,"A",1
"21",934.705231105909,294.2976471968,"A",1
"22",212.142521282658,822.897979756817,"A",1
"23",651.673766085878,414.347424637526,"B",1
"24",125.555095961317,10.1712229661644,"D",1
"25",267.220668727532,52.4083885829896,"C",1
"26",386.114092543721,730.370381381363,"C",1
"27",13.3903331588954,73.3949469868094,"A",1
"28",382.387957070023,70.3566265292466,"C",1
"29",869.69084572047,637.171967187896,"B",1
"30",340.34899668768,413.30587095581,"C",1
"31",482.080115471035,430.717830779031,"A",1
"32",599.565825425088,80.2463705185801,"C",1
"33",493.541307048872,277.116678655148,"A",1
"34",186.217601411045,794.071018928662,"D",1
"35",827.373318606988,91.0974657163024,"C",1
"36",668.466738192365,276.682177558541,"C",1
"37",794.23986072652,136.255458230153,"B",1
"38",107.943625887856,663.4760950692,"D",1
"39",723.710946040228,979.130022460595,"A",1
"40",411.274429643527,211.811334360391,"A",1
"41",820.946294115856,372.02698434703,"A",1
"42",647.060193819925,118.364716647193,"A",1
"43",782.93276228942,780.536147300154,"C",1
"44",553.036311641335,65.5782136600465,"B",1
"45",529.719580197707,783.775092335418,"A",1
"46",789.356231689453,123.852211982012,"C",1
"47",23.331202333793,777.341672452167,"D",1
"48",477.230065036565,361.34907277301,"A",1
"49",732.3137386702,615.930010797456,"B",1
"50",692.731556482613,917.042729211971,"D",1
"51",477.619622135535,105.220099911094,"A",1
"52",861.2094768323,715.545793995261,"D",1
"53",438.097107224166,156.366555485874,"C",1
"54",244.797277031466,261.575721204281,"C",1
"55",70.6790471449494,773.791367653757,"C",1
"56",99.4661601725966,594.759070547298,"A",1
"57",316.27170718275,95.3767166938633,"C",1
"58",518.634263193235,158.467933768407,"A",1
"59",662.0050764177,701.090714894235,"B",1
"60",406.830187188461,269.182726275176,"A",1
"61",912.875924259424,296.830063685775,"A",1
"62",293.603372760117,562.665292294696,"A",1
"63",459.065726259723,345.176512375474,"C",1
"64",332.394674187526,996.363310841843,"A",1
"65",650.87046707049,214.889628114179,"C",1
"66",258.016780717298,590.747197624296,"A",1
"67",478.545248275623,408.99104741402,"C",1
"68",766.310670645908,539.928927551955,"C",1
"69",84.2469143681228,809.806877514347,"A",1
"70",875.321330036968,10.6531432829797,"C",1
"71",339.072937844321,674.989556195214,"C",1
"72",839.440350187942,880.181554006413,"C",1
"73",346.68348915875,408.088765805587,"A",1
"74",333.774930797517,894.052134593949,"D",1
"75",476.351245073602,807.851313846186,"C",1
"76",892.198335845023,52.2684226743877,"C",1
"77",864.339470630512,951.139469398186,"A",1
"78",389.989543473348,498.940351651981,"C",1
"79",777.320698834956,497.459183679894,"C",1
"80",960.617997217923,201.222010422498,"C",1
"81",434.659484773874,680.997319286689,"A",1
"82",712.514678714797,547.304183710366,"C",1
"83",399.994368897751,609.57774030976,"A",1
"84",325.352151878178,308.182996464893,"A",1
"85",757.087148027495,164.061164716259,"C",1
"86",202.692255144939,847.399726277217,"A",1
"87",711.121222469956,177.070725010708,"B",1
"88",121.691921027377,586.210725829005,"A",1
"89",245.488513959572,972.556549590081,"A",1
"90",143.30437942408,534.099313896149,"D",1
"91",239.629415096715,810.91625452973,"A",1
"92",58.9343772735447,650.906511116773,"A",1
"93",642.288258532062,770.98110713996,"B",1
"94",876.269212691113,34.5583152957261,"C",1
"95",778.914677444845,558.660281123593,"C",1
"96",797.30882588774,120.087367016822,"C",1
"97",455.274453619495,686.299628112465,"A",1
"98",410.084082046524,914.125661132857,"D",1
"99",810.870242770761,560.349760344252,"A",1
"100",604.933290276676,575.576044851914,"C",1
"101",654.723928077146,516.75015501678,"C",1
"102",353.197271935642,658.048582263291,"A",1
"103",270.260145887733,588.396580191329,"C",1
"104",992.68406117335,79.9245799425989,"B",1
"105",633.493264438584,156.136253383011,"B",1
"106",213.208135217428,985.081367427483,"D",1
"107",129.372348077595,991.829797392711,"D",1
